chrom	chromStart	chromEnd	name	stain
chr1	0	273339	chr1	black
chr2	0	298084	chr2	black
chr3	0	376028	chr3	black
chr4	0	438911	chr4	black
chr5	0	451170	chr5	black
chr6	0	479671	chr6	black
chr7	0	568606	chr7	black
chr8	0	1672211	chr8	black
chr9	0	543946	chr9	black
chr10	0	517085	chr10	black
chr11	0	558343	chr11	black
chr12	0	507315	chr12	black
chr13	0	613311	chr13	black
chr14	0	610479	chr14	black
chr15	0	574882	chr15	black
chr16	0	689073	chr16	black
chr17	0	665319	chr17	black
chr18	0	693872	chr18	black
chr19	0	655165	chr19	black
chr20	0	3343734	chr20	black
chr21	0	736686	chr21	black
chr22	0	683871	chr22	black
chr23	0	744575	chr23	black
chr24	0	839086	chr24	black
chr25	0	884220	chr25	black
chr26	0	1028535	chr26	black
chr27	0	1044101	chr27	black
chr28	0	1137787	chr28	black
chr29	0	1322406	chr29	black
chr30	0	1439733	chr30	black
chr31	0	1524226	chr31	black
chr32	0	1407282	chr32	black
chr33	0	1650040	chr33	black
chr34	0	1968447	chr34	black
