Chromosome	Start	Final	Expression
chr1	1	479	0
chr1	78487	79506	5.335068783
chr1	79973	80605	5.973371661
chr1	81195	81488	6.331023176
chr1	82545	83321	3.376757398
chr1	85011	87263	5.122791881
chr1	88086	88661	4.357972233
chr1	89265	89897	5.087142299
chr1	90545	93034	6.211264751
chr1	93883	96351	5.703710159
chr1	97046	98776	5.05836913
chr1	99480	100082	11.39919229
chr1	100992	103247	5.142359113
chr1	104512	104968	6.042118498
chr1	105007	106262	6.042118498
chr1	108973	109614	6.094941835
chr1	113049	117755	7.571038808
chr1	120620	122710	6.928616733
chr1	124175	125284	6.903033727
chr1	127719	129815	5.778600327
chr1	130930	133053	5.748245077
chr1	136745	138892	9.088687701
chr1	142123	146970	5.193641065
chr1	147988	150096	4.606858275
chr1	152716	153852	3.352064868
chr1	154735	156600	4.527090137
chr1	157143	158123	3.483657154
chr1	158887	161337	4.620963672
chr1	161480	161776	4.620963672
chr1	162265	163734	5.011383708
chr1	164956	170367	4.915506426
chr1	170969	172132	4.558758888
chr1	172794	174494	5.415274096
chr1	176381	178975	4.872517248
chr1	180408	183764	5.483442287
chr1	184307	185791	6.014816815
chr1	186981	191498	5.849488729
chr1	192549	193415	4.497891237
chr1	196925	199339	5.179473417
chr1	200947	201636	6.535821389
chr1	203659	204086	5.370930619
chr1	204307	205231	5.370930619
chr1	206983	208560	4.698282363
chr1	209061	213836	4.745613227
chr1	214922	221614	5.86089494
chr1	222251	224482	4.830423365
chr1	225751	229938	5.537656104
chr1	230558	231532	3.928781829
chr1	233193	234404	9.776022279
chr1	237599	239140	3.707479282
chr1	240825	242240	4.477789021
chr1	243328	246429	4.914254764
chr1	248010	251372	4.868166142
chr1	3969	4973	5.763955562
chr1	6040	7665	5.203119808
chr1	9205	11223	5.317615549
chr1	12179	12739	3.530952808
chr1	14852	16849	6.833629135
chr1	18143	18898	4.541872647
chr1	19953	21752	5.353220994
chr1	22589	23302	3.693226847
chr1	24502	25326	3.824390543
chr1	25663	26700	3.509152171
chr1	27738	28325	3.732240661
chr1	29473	31425	5.364763098
chr1	32705	33901	4.717198491
chr1	35683	35931	2.88816941
chr1	36685	37035	3.525186848
chr1	39947	41293	4.519070044
chr1	42672	44984	5.999181334
chr1	46159	46749	3.5464583
chr1	47651	48394	3.899635831
chr1	49358	52048	5.650478288
chr1	55185	56189	4.524151948
chr1	57109	57618	2.932670058
chr1	59444	59860	3.398566765
chr1	60632	63415	5.724469674
chr1	64206	66710	5.049440658
chr1	67407	68246	4.040941133
chr1	69327	69650	4.74537235
chr1	71028	72272	5.067532743
chr1	73471	73989	5.472853436
chr1	75659	76822	5.688005885
chr1	77180	77557	2.672353617
chr1	111237	111453	4.527318781
chr1	111937	112208	4.527318781
chr1	236276	236566	6.476342719
chr2	165110	165523	3.284739254
chr2	204836	205240	3.085075358
chr2	240975	252332	7.662682452
chr2	253126	254697	5.885993223
chr2	255673	256305	2.766367388
chr2	257822	258787	4.686383639
chr2	259933	261669	4.853157252
chr2	262571	264550	4.288715334
chr2	265686	269924	4.982157446
chr2	270449	271393	4.178696999
chr2	272174	274966	4.77036825
chr2	275825	276739	6.088133489
chr2	278273	278971	6.088133489
chr2	279992	281356	5.061380375
chr2	282105	284918	6.982596904
chr2	286629	289082	7.213390256
chr2	289992	290216	3.63685078
chr2	291125	291301	3.63685078
chr2	292811	294847	8.165888277
chr2	4	315	6.243753847
chr2	337	666	6.243753847
chr2	1576	3378	6.243753847
chr2	7150	7796	6.03512127
chr2	8483	9038	6.03512127
chr2	9599	10792	4.659146743
chr2	13055	16360	5.906630287
chr2	19611	20675	4.536081533
chr2	22008	23075	4.821520702
chr2	24988	28491	5.492607356
chr2	30275	45040	7.555494343
chr2	46408	47109	3.157185964
chr2	48103	50784	5.127403176
chr2	52092	57884	6.391401038
chr2	64776	66032	6.601511009
chr2	66110	67231	6.601511009
chr2	71409	73760	6.167952128
chr2	78392	80887	6.444270099
chr2	85997	88966	5.877765588
chr2	91097	94105	5.775636181
chr2	95605	99036	5.46160727
chr2	100243	101067	4.484573715
chr2	101856	102332	3.886588677
chr2	103942	104409	4.043422443
chr2	105427	107046	4.906202188
chr2	110125	112812	8.651413337
chr2	112833	118001	8.651413337
chr2	121629	123638	5.765003245
chr2	124633	125607	5.132083302
chr2	126425	127234	6.901989454
chr2	127338	127850	6.901989454
chr2	128206	128496	6.901989454
chr2	128858	129379	6.901989454
chr2	131047	132483	6.901989454
chr2	132620	133800	6.901989454
