Chromosome	Start	Final	Density
chr8	1472001	1473001	0.669642857
chr20	464001	465001	0.535714286
chr20	465001	466001	0.526785714
chr8	1482001	1483001	0.455357143
chr20	461001	462001	0.455357143
chr8	1466001	1467001	0.433035714
chr8	1473001	1474001	0.424107143
chr30	158001	159001	0.415178571
chr30	159001	160001	0.388392857
chr8	1459001	1460001	0.383928571
chr8	1460001	1461001	0.375
chr30	144001	145001	0.375
chr8	1476001	1477001	0.366071429
chr8	1453001	1454001	0.361607143
chr8	1486001	1487001	0.357142857
chr30	157001	158001	0.357142857
chr30	152001	153001	0.352678571
chr33	683001	684001	0.352678571
chr8	1452001	1453001	0.339285714
chr30	148001	149001	0.339285714
chr8	1458001	1459001	0.330357143
chr8	1487001	1488001	0.325892857
chr8	1488001	1489001	0.316964286
chr8	1470001	1471001	0.308035714
chr8	1480001	1481001	0.308035714
chr8	1481001	1482001	0.308035714
chr33	685001	686001	0.303571429
chr15	165001	166001	0.294642857
chr33	682001	683001	0.294642857
chr8	1467001	1468001	0.290178571
chr8	1469001	1470001	0.290178571
chr8	1485001	1486001	0.290178571
chr15	167001	168001	0.290178571
chr30	146001	147001	0.290178571
chr30	350001	351001	0.285714286
chr20	466001	467001	0.276785714
chr8	1461001	1462001	0.272321429
chr8	1468001	1469001	0.272321429
chr8	1474001	1475001	0.272321429
chr30	151001	152001	0.272321429
chr30	153001	154001	0.272321429
chr8	1457001	1458001	0.267857143
chr10	151001	152001	0.267857143
chr20	462001	463001	0.267857143
chr23	422001	423001	0.267857143
chr33	1091001	1092001	0.267857143
chr11	252001	253001	0.263392857
chr30	160001	161001	0.263392857
chr8	1471001	1472001	0.258928571
chr8	1463001	1464001	0.254464286
chr30	140001	141001	0.25
chr30	150001	151001	0.25
chr32	1186001	1187001	0.241071429
chr8	1477001	1478001	0.227678571
chr30	143001	144001	0.227678571
chr8	1456001	1457001	0.223214286
chr8	1451001	1452001	0.21875
chr20	460001	461001	0.21875
chr8	1465001	1466001	0.200892857
chr30	139001	140001	0.200892857
chr30	147001	148001	0.200892857
chr20	3225001	3226001	0.196428571
chr8	1483001	1484001	0.191964286
chr30	145001	146001	0.191964286
chr33	681001	682001	0.191964286
chr1	110001	111001	0.183035714
chr8	1489001	1490001	0.183035714
chr25	1001	2001	0.178571429
chr30	156001	157001	0.178571429
chr8	1462001	1463001	0.174107143
chr8	1455001	1456001	0.169642857
chr8	1601001	1602001	0.169642857
chr27	257001	258001	0.169642857
chr7	394001	395001	0.165178571
chr8	1484001	1485001	0.165178571
chr20	467001	468001	0.165178571
chr30	149001	150001	0.165178571
chr30	161001	162001	0.165178571
chr30	141001	142001	0.160714286
chr30	142001	143001	0.160714286
chr10	181001	182001	0.151785714
chr25	883001	884001	0.151785714
chr30	174001	175001	0.151785714
chr8	1478001	1479001	0.147321429
chr8	1479001	1480001	0.147321429
chr19	297001	298001	0.147321429
chr29	564001	565001	0.147321429
chr30	185001	186001	0.147321429
chr30	351001	352001	0.147321429
chr30	341001	342001	0.142857143
chr33	1085001	1086001	0.142857143
chr8	1454001	1455001	0.138392857
chr10	183001	184001	0.138392857
chr20	4001	5001	0.138392857
chr21	2001	3001	0.138392857
chr8	1600001	1601001	0.133928571
chr10	150001	151001	0.133928571
chr30	164001	165001	0.133928571
chr30	661001	662001	0.133928571
chr33	679001	680001	0.133928571
chr33	686001	687001	0.133928571
chr10	176001	177001	0.129464286
chr28	440001	441001	0.129464286
chr28	812001	813001	0.129464286
chr30	379001	380001	0.129464286
chr30	386001	387001	0.129464286
chr30	1176001	1177001	0.129464286
chr32	636001	637001	0.129464286
chr33	397001	398001	0.129464286
chr33	1648001	1649001	0.129464286
chr2	109001	110001	0.125
chr8	1599001	1600001	0.125
chr12	459001	460001	0.125
chr14	161001	162001	0.125
chr30	413001	414001	0.125
chr31	594001	595001	0.125
chr8	1464001	1465001	0.120535714
chr8	1475001	1476001	0.120535714
chr10	184001	185001	0.120535714
chr30	829001	830001	0.120535714
chr34	1065001	1066001	0.120535714
chr15	291001	292001	0.116071429
chr30	163001	164001	0.116071429
chr30	167001	168001	0.116071429
chr30	173001	174001	0.116071429
chr30	197001	198001	0.116071429
chr30	219001	220001	0.116071429
chr30	488001	489001	0.116071429
chr30	1278001	1279001	0.116071429
chr32	637001	638001	0.116071429
chr33	680001	681001	0.116071429
chr10	187001	188001	0.111607143
chr19	392001	393001	0.111607143
chr20	485001	486001	0.111607143
chr21	183001	184001	0.111607143
