G1Chromosome	G1Start	G1Final	G2Chromosome	G2Start	G2Final
chr2	238678	238678	chr13	94867	94867
chr2	238678	238678	chr13	91780	91780
chr2	238678	238678	chr13	119036	119036
chr2	238678	238678	chr13	155882	155882
chr2	238678	238678	chr13	157632	157632
chr2	238678	238678	chr13	398385	398385
chr2	238678	238678	chr13	602640	602640
chr2	239006	239006	chr13	119036	119036
chr2	239006	239006	chr13	155882	155882
chr2	239006	239006	chr13	157632	157632
chr2	239006	239006	chr13	398385	398385
chr2	239006	239006	chr13	602640	602640
chr2	239326	239326	chr13	119036	119036
chr2	239326	239326	chr13	155882	155882
chr2	239326	239326	chr13	157632	157632
chr2	239326	239326	chr13	398385	398385
chr2	239326	239326	chr13	602640	602640
chr2	238678	238678	chr20	1154640	1154640
chr2	238678	238678	chr20	348938	348938
chr2	238678	238678	chr20	376482	376482
chr2	238678	238678	chr20	639087	639087
chr2	238678	238678	chr20	761276	761276
chr2	238678	238678	chr20	1153376	1153376
chr2	238678	238678	chr20	1418083	1418083
chr2	238678	238678	chr20	1420260	1420260
chr2	238678	238678	chr20	2383678	2383678
chr2	238678	238678	chr20	350392	350392
chr2	238678	238678	chr20	377689	377689
chr2	238678	238678	chr20	1717223	1717223
chr2	238678	238678	chr20	1948439	1948439
chr2	238678	238678	chr20	2380103	2380103
chr2	238678	238678	chr20	3194624	3194624
chr2	238678	238678	chr20	173935	173935
chr2	238678	238678	chr20	414612	414612
chr2	238678	238678	chr20	1154637	1154637
chr2	238678	238678	chr20	1283120	1283120
chr2	238678	238678	chr20	1318821	1318821
chr2	238678	238678	chr20	1419328	1419328
chr2	238678	238678	chr20	1421837	1421837
chr2	238678	238678	chr20	1917053	1917053
chr2	238678	238678	chr20	3297067	3297067
chr2	239006	239006	chr20	639087	639087
chr2	239006	239006	chr20	761276	761276
chr2	239006	239006	chr20	1418083	1418083
chr2	239006	239006	chr20	1420260	1420260
chr2	239006	239006	chr20	2380103	2380103
chr2	239006	239006	chr20	350392	350392
chr2	239006	239006	chr20	377689	377689
chr2	239006	239006	chr20	1717223	1717223
chr2	239006	239006	chr20	3194624	3194624
chr2	239006	239006	chr20	173935	173935
chr2	239006	239006	chr20	348938	348938
chr2	239006	239006	chr20	414612	414612
chr2	239006	239006	chr20	1283120	1283120
chr2	239006	239006	chr20	1318821	1318821
chr2	239006	239006	chr20	1419328	1419328
chr2	239006	239006	chr20	1421837	1421837
chr2	239006	239006	chr20	1917053	1917053
chr2	239006	239006	chr20	1948439	1948439
chr2	239006	239006	chr20	3297067	3297067
chr2	239326	239326	chr20	639087	639087
chr2	239326	239326	chr20	761276	761276
chr2	239326	239326	chr20	1418083	1418083
chr2	239326	239326	chr20	1420260	1420260
chr2	239326	239326	chr20	350392	350392
chr2	239326	239326	chr20	377689	377689
chr2	239326	239326	chr20	1717223	1717223
chr2	239326	239326	chr20	3194624	3194624
chr2	239326	239326	chr20	173935	173935
chr2	239326	239326	chr20	348938	348938
chr2	239326	239326	chr20	414612	414612
chr2	239326	239326	chr20	1283120	1283120
chr2	239326	239326	chr20	1318821	1318821
chr2	239326	239326	chr20	1419328	1419328
chr2	239326	239326	chr20	1421837	1421837
chr2	239326	239326	chr20	1917053	1917053
chr2	239326	239326	chr20	3297067	3297067
chr2	239657	239657	chr20	1418083	1418083
chr2	238678	238678	chr8	1669618	1669618
chr2	238678	238678	chr8	167043	167043
chr2	238678	238678	chr8	397950	397950
chr2	238678	238678	chr8	3528	3528
chr2	238678	238678	chr8	129548	129548
chr2	238678	238678	chr8	381160	381160
chr2	238678	238678	chr8	736288	736288
chr2	239006	239006	chr8	167043	167043
chr2	239006	239006	chr8	397950	397950
chr2	239006	239006	chr8	3528	3528
chr2	239006	239006	chr8	129548	129548
chr2	239006	239006	chr8	381160	381160
chr2	239006	239006	chr8	736288	736288
chr2	239326	239326	chr8	167043	167043
chr2	239326	239326	chr8	397950	397950
chr2	239326	239326	chr8	3528	3528
chr2	239326	239326	chr8	129548	129548
chr2	239326	239326	chr8	381160	381160
chr2	239326	239326	chr8	736288	736288
chr2	238678	238678	chr6	197768	197768
chr2	238678	238678	chr6	136003	136003
chr2	238678	238678	chr6	139459	139459
chr2	238678	238678	chr6	198650	198650
chr2	239006	239006	chr6	136003	136003
chr2	239006	239006	chr6	139459	139459
chr2	239006	239006	chr6	198650	198650
chr2	239006	239006	chr6	197768	197768
